O,C,H,L,V
256.4405692362347,256.7951040936007,256.8704475957926,255.80550133093683,9866313
256.802051080546,256.2059817114045,257.1927520115799,255.59056215115788,10437709
256.2060711575883,254.59404221694336,256.40148125389453,254.15682927031014,9099133
254.58426276750967,255.53194508534494,255.53194508534494,254.4572790018447,10075626
257.5934112844152,254.8742472955344,259.02958902762134,253.84176999541427,32431136
254.86768790871912,253.04063034211134,255.73713463108484,252.64983996489357,17827634
253.04063034211134,253.02110125863857,253.4509796181965,252.35672482043427,11563309
253.02110125863857,250.78670577080175,253.8906076117935,250.5786241317842,13046323
250.79872137483156,250.1194372393198,251.2624103918828,249.5625452987023,10863166
250.1291868733589,248.12196978479045,250.17805430513275,246.8953644503326,15313497
248.11660301375977,247.3643158845334,248.62462752260342,246.983290049052,9115282
249.23037198729747,246.77811541100942,249.31829758601688,245.73274295271835,27174243
246.78789486044312,242.31327497512225,246.8953644503326,241.73683904333467,21336449
242.33280405859503,242.74324278086402,244.00346497275024,241.96155767254734,12067133
242.75780760113344,244.06463125480272,244.24771268543566,242.08866069979075,11091456
244.07186148799684,243.6791032947345,245.27355606025395,243.62243913726883,9664863
243.67616647836493,244.6433927873703,244.96082238613803,243.66151221191168,8632590
244.63850306265343,242.77246186758666,244.6580470538235,242.41096511557805,7525628
244.24771268543566,243.86668684995428,245.46895124886282,238.78633740763667,36427280
243.8569223082179,244.24771268543566,244.50172493985747,241.1408889357716,16932853
244.24194340657766,242.6356837447907,245.2247035361774,242.23676867254036,12121725
242.64055856181025,242.63733849919183,243.40065732442574,241.31674013321043,9300163
242.67475681943355,242.42778099814086,243.6419831284389,241.6098403699724,8770028
242.39143603210528,241.10180095343145,242.66499227769717,240.66215805213713,9630581
241.09203641169506,242.68452136116994,242.96785705619556,240.39836634828163,7973090
239.85125385709782,232.45924233179883,240.02710505453663,230.88248500298332,40913390
232.4847494018919,233.5399907558005,234.7806689565166,231.66406575741888,18878080
233.54966585135304,234.92585502059396,235.3277814477004,232.86577523737327,13218333
234.90768253757616,234.63988066314494,235.72835127435187,234.34102605522227,10145368
234.64389083372066,235.70197955781498,236.01168696937748,233.3054181386676,12651798
235.72835127435187,233.74516539384308,236.06052458575672,233.2174925399482,12699859
233.75130736513375,232.9341568449226,234.22379192359642,232.51405793479836,7664219
233.7450610399619,234.9418807951995,236.19730270855266,232.26003077267924,31465260
234.95653506165272,236.18264844209943,237.1156764934815,234.89820124208862,17206314
236.15822963390983,235.65019021736887,236.57832854403406,234.26286499823925,11727668
235.64531540034932,235.6208816844624,236.30477229844215,234.81975693885676,9243366
235.61414340527944,233.54975529753688,236.23639069089282,233.51087602295902,10211070
233.54966585135304,234.34113040910344,234.70241845334974,233.18816909934444,11165320
234.36057004639235,232.4847494018919,234.72205189070365,232.32842728792585,7923570
231.41005350299704,233.69298845326696,234.16515995008618,229.4952492300376,30252931
233.67178970769575,232.95859056080954,234.5946507095141,232.71921766514365,13771103
232.982905015118,231.16580579031162,233.353972508798,230.8922495447197,11254227
231.15613069475907,232.3422914464218,232.61174807525416,230.82385302947307,9636882
232.34044289195566,232.80714326386303,233.87207462102148,232.31122380523306,9676695
232.81692271329672,231.50775855115015,233.00255336016923,231.25373138903103,9461568
231.49797910171645,231.96791444393955,232.3675003625687,231.3416569877504,5783967
230.70661889784722,231.49797910171645,233.6962085158854,229.8859501610715,25738913
231.51752309288653,232.7924889974098,232.96346537782907,230.61878274531165,13642686
232.77793908483773,233.70549601130793,234.47780417801823,232.21606797331953,10782053
233.70109824060222,233.43241681202986,234.35079059695866,233.24680107285468,8458017
233.44073530712743,234.2823046355282,234.7219475368225,233.17840455760805,9095207
234.27459735602022,235.1988298659909,235.61111714272602,234.1553954083498,8604334
235.2300913072446,234.84906547176323,235.6990427414454,234.7714858149752,5631978
232.63129206642424,226.9793964170359,233.46622746952318,226.70095044672715,31344281
226.9710033834518,228.90426338567792,229.8761707116378,226.8572725606932,16237364
228.90895931032975,229.5146888673265,230.1595064066634,228.27390631272925,12078110
229.54399740023297,228.76690386268697,230.01294883443376,228.44000787612896,9092026
228.78683545398704,228.5169912250247,229.72962804710548,227.9417330013244,9923972
228.51815402541467,229.41122944801273,229.6026144660459,228.49871438812576,8441947
229.4169987268707,229.4753176387375,229.73939258884187,228.4009198937888,6739054
229.69055497246262,227.6681767557325,230.0813453496804,225.96820730867083,26481426
227.68772074690258,227.241324658728,229.67090662741137,227.20576980064968,14928391
227.25784238734465,227.34576798606406,228.6060945318314,227.06244719873575,10268870
227.34372563153292,228.10646305657184,228.26414177099286,226.68142136325437,10698934
228.09805511529044,229.1434275735815,229.74917203827556,228.09805511529044,9742673
229.12877330712826,228.35206736971227,229.83709763699494,228.16643672283976,9832697
228.38137590261871,228.5083894836783,228.65493214821063,227.41903931833022,6976760
225.2647876112183,222.70868401548648,225.61649000609592,220.8390053422767,37046853
222.72460543621085,220.81947625880392,223.3401144426413,220.35050991690582,16895972
220.8384239420817,220.54405655104858,222.13840496268688,220.1844232612034,11284227
220.54592001321203,221.4300955405175,222.22624111522245,220.54592001321203,9271783
221.44474980697075,221.7182016986815,222.74414942738093,221.10290140001337,9658588
221.72807059429903,223.00597331519185,223.37283683823117,221.54243994742652,10248789
223.00792622353913,222.07519632610325,223.38895205902054,221.1125764955659,7656066
215.0161482201664,216.52070757092187,220.15511472829692,214.5471967859656,39270458
216.49843547114452,216.69666312224183,217.42511284347358,215.0259127619028,18151945
216.70633821779435,213.64347726749003,216.89196886466686,212.30011484772012,21626644
213.6678066294958,214.2296628333167,214.79144449865103,213.3357227642748,11164129
214.23455255803353,212.7690662819209,214.3223887105691,212.7690662819209,10657445
