O,C,H,L,V
314.6562076136657,315.01025347814067,315.5134131899618,314.63755416517995,569116
315.01025347814067,315.14071387700113,315.27114584072666,314.544372228156,573918
315.14071387700113,315.10343541516454,315.2897992892124,314.712111088853,449468
315.11276213940744,315.7743055525478,315.8115840143844,314.82391803922775,778115
315.5879701136349,316.3147437262055,316.622212839736,314.92639826535964,783936
316.33336873955636,317.4514951135734,317.72168576526735,316.26592059960495,988226
317.4514951135734,317.52602360211154,317.7682909513467,317.2522785585568,567771
317.50739858876074,317.59125380154177,318.0291833139327,317.41421665173687,541191
317.6005520906497,317.5166968778687,317.86127384242644,317.27445796376844,527697
317.5166968778687,317.488745140275,317.7889632944094,317.13467084066514,541146
317.50739858876074,317.3583131765495,317.86147288837066,316.9297103884014,1071408
316.79924998954095,317.93600137690885,317.95462639025965,316.53835762695496,780868
317.95462639025965,316.79924998954095,318.0850867891201,316.7619715277044,643121
316.7871366220792,316.22156178918164,317.07876736547774,316.1097548388069,561456
316.24018680253243,316.6501645773297,316.9297103884014,316.18428332734504,402337
316.6687895906805,317.06014235212695,317.2837562528764,316.6687895906805,417832
317.04151733877615,317.56330206394813,317.67510901432286,317.04151733877615,462857
317.5726003530561,317.227852777689,317.63783055248626,316.8365284513775,1112499
315.10343541516454,317.04151733877615,317.6005520906497,314.7680145640404,1839018
317.06014235212695,318.0291833139327,318.523016301511,316.966960415103,874427
318.010529865447,319.1845597146514,319.3802218778072,317.95462639025965,789423
319.17747936606463,320.09769720126985,320.2001774274017,319.1659347013006,753008
320.0790437527841,319.4640770905882,320.33956645861656,319.3336451268627,768684
319.4640770905882,319.8927083138712,320.04179372608246,319.1659347013006,1047637
319.8927083138712,320.7871923520039,320.84309582719123,319.48273053907394,1640011
319.6318159512852,318.1968937394948,320.2288684785024,317.488745140275,1837690
318.1968937394948,319.39813601278587,319.50340288213664,317.58192707729893,1075259
319.3709235886992,319.0727527642767,319.8181513901981,318.80253367744785,762696
319.0727527642767,319.9858902508951,320.1536006764572,319.0261760133322,603431
319.9858902508951,320.2654076268319,320.2840326401827,319.2031847280022,764032
320.2654076268319,319.9858902508951,320.6008284779561,319.63628026746244,1065467
319.99072422382585,319.29636666502614,320.2467826134811,319.03547430244015,1314978
317.9919048520962,321.4207840275506,322.01266136021843,317.8055409780484,1919678
321.38353400084895,322.48300692638026,322.93023472787917,321.2903520638251,1363827
322.53891040156765,321.812136788997,323.04207011338883,321.73757986532394,1142682
321.812136788997,321.27152800453,321.83076180234787,320.8617208405421,800110
321.27169861533935,320.7685673386531,321.4207840275506,320.7312888768165,612632
320.7312888768165,320.0324670018396,320.7406156010594,319.8927083138712,1084993
320.0231402775967,319.48273053907394,320.35858956385584,319.29636666502614,1460763
319.53863401426133,321.70032983862234,323.09797358857617,319.53863401426133,2112924
321.70032983862234,322.4457284645437,323.09797358857617,321.3462555390124,1280708
322.45317846988405,320.79651907624674,322.5694781715709,320.7685673386531,948457
320.79651907624674,321.3276020905267,321.3648805523632,320.35858956385584,665356
321.3089770771759,321.4953409512237,321.92394373937174,321.01080625275335,901734
321.47668750273795,320.93627776421516,321.73757986532394,320.56357845125444,727352
320.8989993023786,321.0294597012391,321.2624003262314,320.4424447766369,1133993
320.56357845125444,316.7209680631977,321.19717012680115,315.839535751978,2250841
316.7433465143536,317.1719493025017,317.45948538647656,316.5010791651184,943695
317.1719493025017,316.27746526436897,317.24650622617474,316.2029083406959,867592
316.3147437262055,316.1999510866677,316.79905094359674,316.16565831399424,589588
316.2029083406959,317.95462639025965,318.2527972146822,316.2029083406959,711280
317.9919048520962,319.3336451268627,319.48273053907394,317.9732798387454,1144035
319.32431840261984,320.5262999894179,320.56357845125444,319.22183817648795,1212630
319.8181513901981,318.271422228033,320.13494722797145,317.8055409780484,1661151
318.24347049043934,318.6254965276429,318.8118604016907,317.9732798387454,872266
318.6260652303406,318.75595692650336,319.01684928908935,318.58824650094124,756604
318.75612753731264,317.56330206394813,318.7932353883399,317.33965972806374,880022
317.5446486154624,317.2651312395256,318.32735413835525,316.9762871393459,836530
317.30240970136214,317.7589642271039,317.89872291507226,317.1533242891509,1008060
317.749637502861,318.010529865447,318.2527972146822,317.4235433759797,1054046
316.79924998954095,315.9233909647591,317.2651312395256,314.84254305257855,2208487
315.9233909647591,316.37994549050086,316.39859893898654,315.34570276439973,940523
316.3892722147437,315.8302090277352,316.5290309027121,315.2618475516187,740251
315.8302090277352,316.16565831399424,316.6874430391662,315.6811236155239,603546
316.18428332734504,317.7123874761594,317.8428194398849,316.1097548388069,695997
317.7123874761594,318.3463488084596,318.8118604016907,317.63783055248626,988661
318.37393088929974,318.63482325188573,318.77458193985416,317.89872291507226,1097272
317.41421665173687,315.1220888636503,317.4514951135734,314.26505389816344,2133169
315.10343541516454,314.9170999762517,315.5972684027429,314.4139402644305,1973924
314.89844652776594,314.86287417402264,315.51156490619417,314.63755416517995,970748
314.87982151441514,315.6065951269857,316.2029083406959,314.82391803922775,986605
315.6345468645794,316.7433465143536,316.8551534647283,315.5600183760412,926268
316.78062497619015,316.8924319265649,317.43284166508766,316.53835762695496,1053594
