O,C,H,L,V
54.316998823696004,54.35886196913955,54.445806612170465,54.23327744632365,25187
54.35564361699571,54.27191732610863,54.42004505447557,54.13667283334649,38424
54.26548062182095,54.18819594873627,54.316998823696004,54.18175433093387,34191
54.20107918434108,54.27835894391103,54.27835894391103,54.117352893454004,31866
54.17531762664619,54.3814051746906,54.458684934260546,54.17531762664619,42285
54.34804240971857,54.27835894391103,54.35564361699571,54.25259738621614,48358
54.26548062182095,54.35564361699571,54.369809279943325,54.25259738621614,22465
54.35564361699571,54.316998823696004,54.36581950598791,54.239458647845716,13989
54.343536716717196,54.342760381390896,54.3814051746906,54.26869897396479,23212
54.342760381390896,54.36852193908579,54.37496355688819,54.25259738621614,22705
54.3814051746906,54.445806612170465,54.48444649195544,54.3814051746906,22875
54.316998823696004,54.234564787181185,54.407166732385484,54.098032953561514,88907
54.23971906412606,53.982108400691864,54.27191732610863,53.80178241034235,50925
54.007869958386756,53.917706963212,54.04650983817173,53.879067083427024,79564
53.90482372760719,54.007869958386756,54.07227139586662,53.90482372760719,46397
54.007869958386756,54.078713013669024,54.110911275651596,53.96923007860178,48403
54.08515463147143,54.13667283334649,54.16256214242419,54.07227139586662,50970
54.110911275651596,53.90482372760719,54.1495560689513,53.866183847822214,75891
53.441130429643316,53.776020852647456,53.93058528530208,53.38960731425353,287279
53.776020852647456,54.213957506431164,54.26548062182095,53.60857318438803,34768
54.226835828521246,54.61325428042989,54.63901092461006,54.226835828521246,68748
54.614924875435854,54.67765571790976,54.74205715538963,54.61325428042989,18429
54.664772482304954,54.42004505447557,54.71629559769474,54.407166732385484,70947
54.42004505447557,54.17531762664619,54.42004505447557,54.05939307377654,36628
54.18819594873627,54.432923376565654,54.432923376565654,54.098032953561514,15608
53.94346852090689,53.209281323904015,53.94346852090689,53.016072097949696,228589
53.18351976620913,53.27368276138389,53.31232264116886,52.87438598738515,30028
53.31232264116886,53.209281323904015,53.350962520953836,53.17063653060432,32739
53.247921203688996,53.39836319749067,53.466887073823486,53.209281323904015,63931
53.37672407864873,53.4540087517334,53.4540087517334,53.17063653060432,52784
53.47977030942829,52.80998454990529,53.51841018921327,52.771344670120314,41559
52.80998454990529,52.80998454990529,53.0225137157521,52.70693831912572,48239
52.86150766529507,53.415368871948424,53.52485180701567,52.7584614345155,48723
53.415368871948424,53.544171746908155,53.660096299777805,53.38960731425353,41054
53.56993330460305,53.544171746908155,53.6858578574727,53.415368871948424,28009
53.523304049877794,53.466887073823486,53.523304049877794,53.338084198863754,29885
53.466887073823486,53.40248563634362,53.531293424818074,53.38960731425353,9973
53.38960731425353,53.325205876773666,53.4540087517334,53.29300270127637,13270
53.338084198863754,53.222159645994104,53.38960731425353,53.14487497290943,22466
52.96454898255991,54.098032953561514,54.213957506431164,52.87438598738515,34608
54.13667283334649,54.329882059300814,54.561731165040115,54.13667283334649,41302
54.342760381390896,54.226835828521246,54.407166732385484,54.110911275651596,40016
54.20107918434108,54.14839647947657,54.20107918434108,53.96923007860178,20859
54.17531762664619,54.316998823696004,54.3814051746906,54.17531762664619,13323
54.316998823696004,54.03363151608165,54.33322816282746,53.994986722781945,28628
54.04650983817173,54.110911275651596,54.123794511256406,53.982108400691864,24432
54.007869958386756,53.879067083427024,54.03363151608165,53.582811626693136,47260
53.96923007860178,54.07227139586662,54.123794511256406,53.917706963212,24380
54.098032953561514,53.879067083427024,54.098032953561514,53.80178241034235,22137
