O,C,H,L,V
441.4516108722372,441.64322587459236,443.6348783321071,441.1858891278999,22244
441.4293248228562,439.90977643364397,442.2333784711315,437.76338225547727,28853
439.3270525202318,441.953069494472,442.13009726450497,438.58940679687976,29499
441.79076402372715,442.13009726450497,442.6022013328075,440.9867553977738,69126
440.8023439669358,439.58521051447616,441.82633165809284,437.2763757985987,32170
439.20900399199513,440.02044130107555,441.35557825944977,438.69264298118435,26134
440.07942054287184,441.599149021372,442.42517356277455,438.7664345669127,40753
442.30712503453793,442.52840974707914,443.05935799021205,441.3039376561365,26279
442.7792291028405,443.3545693554476,443.7824164812419,441.7981476845322,26118
443.48734018297233,441.8586576852759,443.51687482619246,440.5957815536827,30251
441.6137362536942,444.03323583700325,444.0627254579014,441.5620956503809,67121
441.4514758052713,435.3585149268123,442.9735004221925,434.5323553184438,71194
434.5470776177319,430.92525692589527,435.1003119102459,430.0696076966286,79952
430.88838364419206,431.7661838558738,433.0421614831638,430.66709893165086,51867
431.47849121840926,433.5144006184323,433.5585224939746,430.873616322582,35990
433.3668624692975,432.7914771943684,435.1814871567793,432.73249795257203,35344
433.278348584281,434.31840924438563,434.31840924438563,431.6776699708573,70781
434.4733310543255,429.6934011741476,434.8421539160015,429.66386653092746,136902
424.42659990405707,431.35310405168957,436.3174453627055,422.3980741648391,78162
431.3604877124946,429.89991856507874,431.3604877124946,426.5584068499016,41426
429.1770401633368,429.4573491399963,431.4490015975111,428.10006119920695,34398
429.46473280080136,429.74504177746087,432.2013696201512,429.0589916351002,32215
429.69547220095876,425.0978377024857,429.7081234734357,424.07254436399114,52737
425.03147479988434,420.3400588047229,425.03147479988434,418.62871532386765,117671
420.5908331381623,421.56453089566554,422.5160776707537,420.427086953114,122136
411.4145185387706,400.5416277801337,411.4292858603807,398.32869061007773,143508
399.92198556269636,393.97656283337216,400.36460001010073,392.2799866741269,143131
393.8364083450424,396.7059960812049,397.4413006438138,390.0596658432659,166077
397.2959685884561,398.49095105850057,399.0515690118196,395.86493408426037,62451
398.13689551843464,397.79760729997884,399.125360597548,395.1494393433235,72325
398.21068710416307,398.21068710416307,401.8038735992192,396.4845763016977,102300
398.24017672506125,397.98935736929985,400.2613188034742,396.97140266928835,178957
396.1305207616318,393.53399340828975,397.31073591006617,390.9523684435237,79765
393.5303015778872,393.6372746149163,395.56990280831275,392.6342223034808,63544
392.47178176576995,391.2546483133104,392.60455259329467,390.65715707828815,79691
