O,C,H,L,V
373.91263892595174,373.938068105695,374.3324339191781,373.6963550170214,137167
373.96349728543817,374.02712846955893,374.2179443755709,373.174765658472,140361
373.96349728543817,374.29427073797564,374.434189461326,373.86174174329017,149720
374.29427073797564,374.65047337025635,374.8158600965251,373.7854153808854,357794
374.61231018905397,375.3119814521562,375.49010217988416,374.01439446809974,294395
375.331082454345,375.82087563242163,375.92263117456963,375.2229599114674,169461
375.78271245121925,375.47736817842497,375.92263117456963,375.38830781456096,158000
375.50283618134335,376.13891508349997,376.3678941707143,375.50283618134335,172845
376.16434426324315,376.8004231653998,376.825852345143,376.16434426324315,161536
376.7940561646702,377.00397307287096,377.0993616142893,376.63503643913106,216095
376.99760607214137,376.4187913533759,377.15662579768053,376.3297309895119,395753
376.3424261677959,376.7622599841974,377.3474417036925,375.6809180858961,281537
376.8322193458726,376.7177298022654,377.6400519750276,376.55871007672624,198594
376.6859336217926,376.3169969880527,377.01666825115495,376.0371207181768,184663
376.3297309895119,376.88948352926377,377.0802994352757,376.15161026178396,131593
376.91211744039396,376.9785050699526,377.2329521600853,376.8145548011655,135812
377.04213625407334,377.28384934274686,377.30927852249005,376.7113628015358,197350
377.27111534128767,377.1057286150189,377.487399250218,376.50781289406467,427955
375.3501446333586,376.5841392564695,377.5128284299612,375.3501446333586,366167
376.66046561887424,376.4823837143215,378.17433651186104,376.3042629865935,326651
376.4314865316599,377.2965445210309,377.43650206755643,375.960794355772,251841
377.27111534128767,377.5509916111636,377.9580914261059,377.1820549774237,205722
377.5255624314204,377.76727552009396,378.05984696825385,377.3347077022333,233267
377.7418075171756,377.6145839721092,377.9707866043899,377.0930334367349,309402
377.6018887938252,377.8817650637011,378.18707051332024,377.2965445210309,589792
377.8308678810395,378.7468230530721,379.0902916838936,376.1897734429864,421035
378.7277220508833,376.99123907141177,379.026699322948,376.8004231653998,416564
376.91491270900696,376.38058934899834,377.32201252394924,376.1261810820408,236685
376.4187913533759,377.0993616142893,377.4492360690156,376.24067062564797,176638
377.0739324345461,376.51417989479427,377.6464189757572,375.76997844976006,215750
376.57144407818544,375.69198269082256,376.8322193458726,375.3628786348178,211541
375.6809180858961,374.4596574642444,376.15161026178396,374.3324339191781,524030
375.6936520873553,375.37561263627697,376.26609980539115,374.421494283042,307893
375.3374494550746,377.53825760970443,377.9453574246467,374.9685128213347,271641
377.5509916111636,372.9170185984489,378.17433651186104,370.09616551301195,1121608
372.6404811216385,373.1874996599312,373.8108445606286,370.93575549946456,629864
373.14933647872874,372.6659103013817,373.23839684259275,372.3351368488442,287640
372.6531762999225,371.3810184956092,372.83129702765046,370.93575549946456,350143
