O,C,H,L,V
28.158134176809547,28.15788341764196,28.182845064400354,28.10795694995849,2145473
28.15788341764196,28.102881457439835,28.17452557353645,28.041391500547203,2072496
28.103798791609872,28.070016135652395,28.11211828247378,28.045552833062494,2907385
28.069267032316308,28.166202908505863,28.17452557353645,28.04971099141111,3393692
28.141241261747467,28.203648552810137,28.266055843872806,28.09963745909458,3504424
28.207809885325428,28.22444886705324,28.253575020493606,28.15788341764196,3342132
28.228610199568532,28.245252355463023,28.249413687978315,28.17868690605174,2317440
28.245252355463023,28.2319399004141,28.266055843872806,28.182845064400354,2132844
28.231273325411653,28.205727631984445,28.266055843872806,28.195325887779553,1381091
28.207809885325428,28.197906485289035,28.22444886705324,28.124599105852976,2365889
28.199487220294845,28.203648552810137,28.232771532083824,28.166202908505863,4267712
28.24109102294773,28.132921770883563,28.28685615811591,28.08299530320009,4878097
28.132921770883563,27.978984209484533,28.15788341764196,27.95002628687812,3467469
27.97840016281572,27.929057741801063,28.024749344652715,27.916576918421864,2599138
27.933219074316355,27.98314554199983,28.024749344652715,27.916576918421864,2304422
27.98730370034844,27.991465032863733,28.03306883551662,27.954022562726138,2203207
27.98314554199983,28.074675812336185,28.091314794063997,27.98314554199983,2530432
28.070514479820893,28.008107188758224,28.074675812336185,27.991465032863733,5096107
27.750158533643642,27.933219074316355,27.98314554199983,27.683593084232356,7372976
27.933219074316355,28.09963745909458,28.14956392677805,27.92489958345245,4591005
28.09963745909458,28.220290708704628,28.266055843872806,28.09963745909458,3841190
28.21829415786396,28.324301802420184,28.34926344917858,28.21829415786396,3819063
28.329624879939743,28.14540259426276,28.340943958314675,28.103798791609872,3061734
28.14540259426276,28.070514479820893,28.153722085126667,28.041391500547203,3120505
28.070514479820893,28.216129376189336,28.24109102294773,28.066353147305602,5372981
27.95818072107475,27.750158533643642,27.978984209484533,27.725196886885243,9594802
27.750491821144866,27.712716063506047,27.800085001327112,27.65863143747396,4437520
27.712716063506047,27.746000375295026,27.779367215417643,27.691912575096264,3938970
27.741839042779734,27.92073825093716,27.97482287696924,27.737677710264443,4234870
27.92073825093716,28.003945856242932,28.008107188758224,27.775123354568716,4937249
28.008107188758224,27.89244690333319,28.09963745909458,27.866653624905073,4572180
27.899934762527376,27.89161527166347,27.949861230210846,27.816727157221603,6318511
27.933219074316355,28.36174427255778,28.432471054484353,27.90825742755796,7977650
28.357586114209163,28.503201010577605,28.515681833956805,28.332621293284088,5087004
28.503201010577605,28.345102116663288,28.548966145745784,28.328459960768797,3913105
28.34926344917858,28.278536667252006,28.34926344917858,28.22444886705324,2670598
28.282697999767297,28.257733178842223,28.340943958314675,28.23693286459912,3272742
28.255654099667915,28.195325887779553,28.266055843872806,28.16720277100954,3774228
28.199487220294845,28.132921770883563,28.253575020493606,28.10795694995849,6332567
28.124599105852976,28.740346177282408,28.756988333176896,28.04971099141111,10017819
28.740346177282408,28.736184844767113,28.865157585241068,28.690419709598935,6830282
28.73202351225182,28.67793888621974,28.773630489071387,28.63217375105156,5301008
28.673777553704447,28.65297723946134,28.69874237462952,28.548966145745784,5084500
28.657135397809956,28.719542688872625,28.756988333176896,28.649565010282135,3088919
28.719542688872625,28.58216475503445,28.740346177282408,28.5406434807152,4436545
28.573927792504183,28.65297723946134,28.68210021873503,28.548966145745784,5571875
28.5406434807152,28.132921770883563,28.5406434807152,27.991465032863733,11045252
28.132921770883563,28.203648552810137,28.24109102294773,28.124599105852976,4025805
28.199487220294845,28.103798791609872,28.216129376189336,28.04971099141111,4317273
28.103798791609872,28.09547612657929,28.182845064400354,28.091314794063997,2305184
28.09963745909458,28.307659646525693,28.328459960768797,28.09963745909458,2968776
28.307659646525693,28.340943958314675,28.34926344917858,28.266055843872806,3900284
28.33786501663669,28.419990231105153,28.449113210378844,28.307742174859328,6044740
28.141241261747467,27.999787697894316,28.15788341764196,27.90825742755796,7701962
27.999787697894316,28.046051177230993,28.066353147305602,27.916576918421864,4677998
28.04971099141111,28.062191814790307,28.074675812336185,27.97482287696924,3303460
28.062191814790307,27.949861230210846,28.08299530320009,27.933219074316355,2470162
27.941541739346942,27.916576918421864,28.058033656441694,27.883292606632885,3392851
27.92073825093716,27.951607021883927,27.98314554199983,27.883292606632885,4852124
27.954022562726138,27.999787697894316,28.024749344652715,27.929057741801063,5426521
27.874973115768977,27.804246333842404,27.916576918421864,27.683593084232356,5453223
27.804246333842404,27.796507715480633,27.85833095987449,27.762642531189517,4089780
27.79592366881182,27.696073907611556,27.804246333842404,27.691912575096264,3824046
27.696073907611556,27.729358219400535,27.775123354568716,27.65863143747396,3468296
27.729358219400535,27.84585013649529,27.85833095987449,27.708554730990755,3422023
27.850011469010582,27.912415585906572,27.949861230210846,27.808404492191016,5402265
27.912415585906572,27.949861230210846,27.98314554199983,27.870811783253686,5122531
27.758481198674225,27.45060925004285,27.874973115768977,27.27586820023404,10046767
27.446447917527557,27.371559803085688,27.508855208590226,27.300833021159114,7025475
27.367398470570397,27.375721135600983,27.458928740906757,27.342436823812,5081566
27.384040626464888,27.46458828009422,27.51717469945413,27.375721135600983,3991390
27.463090073422048,27.53606416535688,27.550459011243113,27.425644429117774,3838809
27.538809819533636,27.537978187863914,27.57542065800151,27.500532543559643,4735288
27.537978187863914,27.5795819905168,27.617024460654395,27.525497364484718,7346330
26.83486217861342,26.972738456620093,27.592062813896,26.718370261518665,18664321
26.97631574246657,27.06177383194728,27.442286585012265,26.593555679393326,14499187
27.067846012802928,27.167530717335918,27.45060925004285,26.82238135523422,11560799
27.16769894816987,27.222199390036817,27.29251035612853,27.126091971350306,4901493
27.225944906717245,27.536645037859017,27.617024460654395,27.192660594928267,6341022
27.533816855348622,27.32163333540222,27.533816855348622,27.27586820023404,6019346
