O,C,H,L,V
109.56312272038842,109.7029605986785,109.92480742495736,109.39299211593949,911535
109.70929576331261,109.70929576331261,109.76000609640674,109.31630277184196,756497
109.70929576331261,109.70929576331261,109.85508192595381,109.43672893193255,726955
109.70929576331261,109.88677709313853,109.91212742368205,109.5318144334867,1181645
109.97551775805148,109.28460760465724,109.97551775805148,108.82187944217597,2173166
109.2783981761151,109.34165310238548,109.68393576076201,109.2022021043784,724160
109.34165310238548,109.33531793775137,109.37968343420431,109.02472077455248,849659
109.32897310111018,109.27826276801605,109.45574409784197,109.11346143946544,571363
109.29094276929135,109.11358717555741,109.41771376602314,109.0310559391866,610075
109.11979660409955,108.95499527554894,109.36700343292901,108.910629779096,823765
108.96120470409107,109.02472077455248,109.19586693974428,108.8979497778207,1147614
108.82187944217597,108.99937044400896,109.20739597217766,108.68243811617596,1360745
108.99937044400896,107.9217927917711,109.10078143819014,107.7950217950393,1329776
107.9344727930464,108.16266445596644,108.51762711561827,107.9217927917711,644591
108.17204630282917,108.39085611888648,108.69510844544418,108.16266445596644,622968
108.3971912835206,108.56821171262042,108.7711787810889,108.2831002880641,770766
108.5810174499877,108.45437218934788,108.72046844799478,108.3971912835206,606032
108.46058161789003,108.20069478778527,108.47326161916533,107.98518312614053,1486624
106.48926215188847,105.563815498933,106.59068281807673,105.53846516838946,2802885
105.563815498933,105.62720583330243,105.73813408244538,105.2722431736506,1423937
105.61452583202713,105.29759350419413,105.92093501616255,105.29759350419413,866072
105.31027350546943,105.20251767464705,105.47507483402003,104.69542401571283,1114606
105.20885283928116,104.73345434753166,105.31027350546943,104.42286685633985,831862
104.71443918162225,103.82703253249268,104.77782951599168,103.67490153321029,1465586
103.82703253249268,104.43553718560807,104.44821718688338,103.63687120139146,2091181
102.80016521334893,104.06789452468095,104.63837851798459,102.26138605923708,3775749
104.06789452468095,104.28975102296688,104.66372884852812,103.5481305364785,1518842
104.27073585705746,103.92210836203975,104.42286685633985,103.67490153321029,793590
103.91577319740563,104.42286685633985,104.65092311116085,103.90942836076445,1236780
104.41652201969866,104.53695785179633,104.62569851670929,103.97915385976799,940793
104.53695785179633,104.1819951921445,104.6996119947763,104.023529028228,950126
104.18212092823649,104.28341585833276,104.4989275199775,103.8650628643115,1763415
105.81736716440363,105.9187878305919,106.81887448099677,105.27629574461501,6325031
105.9187878305919,106.09626916041782,106.45123182006964,105.72862649949069,2870287
106.09626916041782,105.74130650076599,106.43855181879434,105.31027350546943,1515494
105.75385109394223,105.36098383856356,105.81736716440363,105.17082250746233,966710
105.37366383983885,105.13912734027762,105.53846516838946,105.04405151073055,614521
105.12645701100939,105.36098383856356,105.7603216666754,105.09476184382468,1055341
105.36098383856356,104.79050951726698,105.38633416910707,104.72711918289755,1894098
103.29458854301492,104.28341585833276,104.62569851670929,102.69875421916775,3596065
104.28354159442473,104.84121017835403,105.29125833956,104.1693151908692,1881261
104.85389017962933,104.95531084581759,105.17082250746233,104.65105851925989,1168116
104.9426308445423,105.04405151073055,105.22153284055646,104.8031798465352,775810
105.04405151073055,105.2785783382847,105.71594649821539,105.04405151073055,1232407
105.2722431736506,105.1327921756435,105.49408999992946,105.01235634354583,1226745
105.12645701100939,105.81736716440363,105.8934278280413,105.08208184254939,1992933
106.34981115388139,107.3006081373804,107.89644246122756,106.27375049024373,3054694
107.3132881386557,107.90277762586167,108.05490862514407,107.20553230783332,1650551
107.89644246122756,108.18801478650997,108.35916095170177,107.6302204664887,1252004
108.17534445724174,107.99786312741583,108.40353612016177,107.97833534513144,1029143
107.99786312741583,107.8203817975899,108.27676512343,107.74431146194517,1138456
107.81403696094873,107.18004656919074,107.85841212940873,107.15482197473919,1646954
107.1865171419239,107.66825079830753,107.71261629476047,107.12312680755447,2413266
105.38633416910707,105.74130650076599,106.45123182006964,105.23421284183176,2617596
105.76665683130952,106.18500982533077,106.25473532433432,105.64622099921183,834036
106.197680154599,106.25473532433432,106.46391182134495,105.99484849422956,885406
106.26107048896843,106.24205532305902,106.73013381608382,106.17232982405547,789154
106.2357201584249,105.4180293362918,106.24205532305902,105.38633416910707,1179041
105.4180293362918,105.67158100176245,105.81736716440363,105.37366383983885,1271397
105.67791616639656,105.63988583457773,105.76665683130952,105.09476184382468,1831704
105.16448734282822,104.56231785434693,105.2468831711,103.52278020593498,2792410
104.58766818489046,104.340461356061,104.93629567990818,104.10593452850685,1232253
104.34679652069512,104.04254419413742,104.42299259243183,103.87139802894562,788811
104.03620902950331,104.39117168915513,104.45455235151749,104.00451386231859,860324
104.39750685378925,104.50526268461162,104.61301851543399,104.30876618887629,679002
104.51160752125281,104.27707102169157,104.74613434880696,104.16298002623509,1001282
104.27073585705746,104.44821718688338,104.4989275199775,104.06155936004683,1515751
104.96799084709289,104.60034818616576,105.48775483529533,104.01744533577784,2670708
104.60034818616576,104.04254419413742,104.84121017835403,103.73829186757972,1064500
104.04887935877153,104.07423936132213,104.31511102551748,103.72561186630442,844718
104.08057452595625,104.70810401698813,104.90168923859389,104.08057452595625,707673
104.71443918162225,105.2785783382847,105.31027350546943,104.53695785179633,780585
105.31027350546943,105.39901417038239,105.65890100048713,105.12645701100939,1116345
105.41169417165769,105.71594649821539,105.79200716185304,105.25322800774119,1458336
104.90460051272346,104.23270552523863,105.2785783382847,103.96648353049976,2385192
104.23270552523863,104.27073585705746,104.33412619142689,103.58616086829733,1358777
104.26440069242335,104.10593452850685,104.33412619142689,103.82068769585149,728043
104.11860485777507,104.21369035932922,104.33412619142689,103.97915385976799,514373
104.22002552396333,104.30243102424218,104.39750685378925,104.023529028228,558695
104.30243102424218,104.56865301898105,104.60668335079988,104.11860485777507,981190
104.56497765629256,104.41652201969866,104.62569851670929,104.37531926955924,1313518
104.70175918034695,106.90761514590973,107.37033363638393,104.51160752125281,3184357
106.90761514590973,107.6175404652134,107.89644246122756,106.8442248115403,2441258
107.6302204664887,107.09777647701095,108.02954862259347,106.8442248115403,1125923
107.09777647701095,106.9709958082721,107.10018480677262,106.33713115260609,979843
106.9709958082721,106.34981115388139,107.07241647446034,106.24839048769313,809028
106.36249115515669,106.74914898199323,106.93296547645326,106.24839048769313,1037745
106.74280414535204,107.26257780556156,107.35131847047452,106.65406348043909,2074707
106.09626916041782,105.38633416910707,106.45123182006964,104.74613434880696,2579576
105.36731900319766,105.53846516838946,105.72862649949069,104.98066117636112,1000280
105.55114516966476,105.22153284055646,105.7222816628495,105.20251767464705,709166
105.20885283928116,105.31027350546943,105.5891755014836,105.08208184254939,630431
105.31027350546943,105.96948849167896,105.99484849422956,105.23421284183176,699069
105.98216849295426,105.32295350674472,106.31811598669667,105.2468831711,1348626
105.31660867010353,105.53846516838946,105.7539768300342,105.2722431736506,1901913
108.03589345923466,108.02321345795934,108.79652911163244,107.5034494697569,4790501
108.02321345795934,108.48593194843355,108.5810174499877,107.66825079830753,1761713
108.49227678507474,107.63528859819598,108.7521636151795,107.23721780301096,1361471
107.642900467764,106.57800281680143,107.6492356323981,106.5399724849826,900521
106.57800281680143,107.42737913411217,107.52879980030043,106.56532281552613,1010463
107.44005913538747,107.49710463311571,107.71896113140166,107.24989780428626,980334
107.5034494697569,107.54147980157573,107.66825079830753,107.32596813993099,1711665
109.10078143819014,109.227562106929,110.07693842423974,108.7584987798136,3197093
109.2148821056537,109.08176627228073,109.2148821056537,108.54298711816887,1389756
109.07543110764661,109.861426762595,109.861426762595,108.79652911163244,1170162
109.861426762595,110.4699314157104,110.71713824453987,109.65858543021848,1923342
110.47626658034451,110.98970507591991,111.28762223784351,110.43202681998355,1519220
110.99604024055404,110.90729957564108,111.23691190474938,110.53509172737455,1745049
110.91997957691638,110.98970507591991,111.07210090419169,110.73615341044928,3000518
112.986374872465,111.94683722405304,114.03224768551108,111.89612689095891,4149459
111.95317238868715,112.70747287645082,112.87303829356037,111.5728593984918,1663586
112.71114823913932,112.62506737617198,113.25259686720388,112.47674714767714,1014969
112.63141221281317,112.40955571452724,112.68845771054141,112.18770888824838,1131324
112.40955571452724,113.00526430228244,113.00539003837441,112.40955571452724,1053865
113.00539003837441,113.2946894419942,113.2946894419942,112.64409221408847,1163555
113.29697203566388,113.1321610351062,113.33500236748272,113.04342037019325,1983840
112.8279087085485,110.85025407791284,113.05610037146855,110.63473274426102,3969216
110.86292440718105,110.59670241244218,110.97702507464462,110.1403190866021,2135442
110.6220624149928,110.3241452530692,110.76784857763398,110.27977008460918,1380577
110.3241452530692,111.08478090546699,111.15450640447054,110.27977008460918,1840326
111.08478090546699,110.6283975796269,111.129156073927,110.60938241371748,1094857
110.59670241244218,110.88193957309048,111.09111607010111,110.55233691598924,1235773
110.87560440845637,110.96434507336932,111.13549123856112,110.72728417996152,1798220
112.07995305742601,111.28127740120232,112.28278471779545,109.79803642822557,4262769
111.30663740375293,111.50274701920526,111.86443172377419,110.96434507336932,2018043
111.50946906412237,111.51580422875648,111.83908139323067,111.30663740375293,1532091
111.51580422875648,111.4143932345753,111.70596555985769,110.92631474155048,1840066
111.4143932345753,110.85025407791284,111.49678906284706,110.6220624149928,1678560
110.86292440718105,110.98336023927874,111.38269806739058,110.66009274681161,1613723
110.97702507464462,111.66793522803887,111.71433184597755,110.93264990618461,2491440
113.14484103638151,113.72799535895338,113.73433052358749,112.18770888824838,4084452
113.74701052486279,113.83575118977575,113.84209602641694,113.11314586919679,1533751
113.83968769665526,113.81673602386633,114.15218057324086,113.46177336421451,1611858
113.82941602514164,113.4490933629392,113.94350702059812,113.22229446903795,998131
113.43007819702979,112.60605221026258,113.43007819702979,112.35884538143311,1039579
112.61239704690375,112.82157354391438,113.03075004092501,112.31447988498017,1068016
112.82157354391438,113.08145070201208,113.17019136692502,112.73916804363554,2497146
110.59670241244218,111.20521673756467,111.52214906539767,109.39236343547961,3525492
111.20521673756467,111.64258489749534,111.91514205686832,111.06576573955758,1550492
